"cell.id","temp_c_mean_idw","humidity_mean_idw","rain_24h_mean_idw","water_tank_density","proportion_no_waste_collection","number_households_no_mains_water_connection","proportion_households_no_sewage_collection","human_population","average_literacy","average_household_income","elevation","proportion_highways","proportion_water_bodies","proportion_flood_prone","proportion_residential","proportion_vegetation","proportion_favela","proportion_non_residential","built_volume_density","nres_built_volume_density","proportion_buildings_over6m","neighbouring_wmel_pctg_mean_avg","breeding_container_sum","wind_speed_mean_idw"
1,24.495806111349,75.4835013820478,3.50947745847589,5.54819297790527,0,0.273294704808518,0.0265639503057945,2536.43478778855,174.121381563354,4930.93936231195,6.42033327955378,0.0385729400286828,0.0498094042451111,0,0.675560125131369,0,0,0.211514609379787,273.302926692482,28.2097606469435,0.343039769673824,0.349745752940415,30,4.20514731853935
2,24.4920709805636,75.4059123304731,3.50805324241305,7.58054161071777,0,3.06314983284094,0.00333795915021514,2160.44267236093,147.165197523973,3564.47958163061,25.2692699901482,0.0450746304007336,0,0,0.895971798704999,0,0,0.152002616503518,529.297761747633,22.2050668168398,0.498032760667137,0.31445844799253,38,4.18059721726432
3,24.4908002391393,75.4622826451515,3.51481390142833,7.05330467224121,0,0.47911038501862,0.000892686759479827,2772.02582075493,189.613181204936,5785.6715609331,11.3279543254828,0.0596122932359377,0,0,0.914993614413431,0,0,0.154598097406524,402.275442738994,5.74365788939784,0.4467694886998,0.326122866917778,106,4.20623277945561
4,24.4896553206358,75.5138789097872,3.52181467853423,1.9957948923111,0,0,0,302.517692157477,20.6539921023968,5891.55,-0.601810970590437,0.0182574061583546,0,0,0.476409434982683,0,0,0.298244547434246,64.8751561972499,0,0.096637729182401,0.239825318002087,10,4.23105866594767
5,24.4943972692666,75.1158275723951,3.5322131782184,1.82138729095459,0,0,0,870.043294341995,58.4587890643939,8377.5334705475,13.1054763111807,NA,0,0,0.73214468706195,0.0729664577542983,0,0.0116075399688696,290.468063076769,0,0.233281458283753,0.406004136314156,21,4.07537440826655
6,24.4871079118342,75.3900567993912,3.53212017964521,18.4075717926025,0.00684748641342,5.92757094005511,0.00912866221988282,3070.54404562014,202.036220413927,2879.41720403435,48.214761002195,0.0190321138917568,0,0,0.934664616957826,0,0.0653353830421745,0.00143054584935564,706.105237223996,0,0.517384377487188,0.310388613790056,42,4.18355115045612
7,24.4858760873873,75.4453171933017,3.52113645670688,8.22145175933838,0,0.0774714835405688,0,2729.74750644103,182.275687811313,4843.60023252318,5.94477636877978,0.0640058850562313,0.0398069905260006,0,0.817136594641095,0.0211217574369692,0,0.144393649464919,371.46547171447,1.01943540279757,0.41622432043649,0.286469576303661,79,4.20859397689838
8,24.4847721614712,75.4960968561012,3.52722351544317,0.0548029020428658,0,0,0,67.7849816389003,4.47647718549324,5891.55,2.98320145023451,0.00912026049723116,0.417830545454505,0,0.0539744377996608,0,0,0.466860571283287,38.8279273671065,1.01941486678214,0.0707906395815117,0.431767279178693,1,4.23288829938825
9,24.491578635105,75.034654399102,3.56416766197006,0.777211606502533,0,0,0.0339864546724101,146.685691641801,9.88322648012166,2950.54,12.8647149442995,NA,0,0,0.200636210729878,0.68113240431059,0,0.0513367614883081,33.8430060621238,0,0.0585494990075718,0.263170494035879,0,4.05514038136959
10,24.4890217787048,75.1146832803179,3.55249529587663,5.48232698440552,0,0,0.00438019796722655,1998.65265187045,131.327259209673,5924.62955239604,20.75544416565,NA,0,0,0.839551139042956,0.059806417865629,0.0634977600976471,0.0434476576275214,379.138284624382,4.07655499169925,0.373018627020077,0.344451064808208,71,4.08313065022996
11,24.4868716946357,75.1886818683138,3.54594923633267,6.77245616912842,0,7.45763158449314,0.00487433130594402,1918.17568992494,129.478992807623,7252.56540512475,22.5691126623582,0.0463341941755458,0,0,0.82682560401235,0.00302401897544703,0,0.184582913054424,581.231759993668,99.5779304284028,0.530955807891667,0.406201587305258,48,4.11038504784559
12,24.4835115081511,75.3202150916782,3.54018400144239,34.2928237915039,0.00889245248057807,0,0.00077420707388907,4723.97148095912,306.509122900803,2931.73488302657,65.5327660553096,NA,0,0,0.597219818920173,0,0.394822120288311,0.0186886710335058,889.32354311335,0,0.545333214553572,0.260886659593985,39,4.16269715879486
13,24.4821808281313,75.3785215379154,3.54554563808621,27.1961688995361,0.00786920501200258,5.56469956173567,0.00697894440459235,4080.38915277584,261.49794773131,2810.44437894899,57.0471377758337,NA,0,0,0.767115520373303,0,0.208624809164366,0.0123773828896297,752.827513370326,0.51604015902998,0.527315875620896,0.240862902585059,13,4.18777476268031
14,24.4810155528864,75.432334477175,3.55272875721753,17.5332546234131,0.002671355042309,1.24021865216046,0.0974838210450211,3038.5958378163,193.388251255915,2896.32351607645,4.44355098657703,0.0200768107368475,0.0357850734435279,0,0.535838179526605,0,0.160828303124857,0.257295943995649,355.752307557131,4.74039588894651,0.418161517027354,0.382682979332562,35,4.21215282743391
15,24.4799740766019,75.4819861728618,3.56083794439495,11.2322959899902,0.0215950763227873,1.55499125992807,0.00638515454967376,1795.35006032577,114.127767588747,2748.25,3.53584226298322,NA,0.00356387101379455,0,0.627904750562223,0,0.245824228524109,0.205155022206511,154.375749553662,1.14412078842149,0.19318445113466,0.223798338023984,51,4.23584876797207
